"labels","Time","Line","tsNs","labelTypes","id"
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:26:46,"{""timestamp"": ""2026-09-24T14:26:46.280088Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 3389, ""rationale"": ""Fire Soul Shield active on high-risk service port 3389"", ""host"": ""kali""}",1790260006649385625,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790260006649385625_1b3f87e1
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:26:46,"{""timestamp"": ""2026-09-24T14:26:46.279771Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 445, ""rationale"": ""Fire Soul Shield active on high-risk service port 445"", ""host"": ""kali""}",1790260006600877252,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790260006600877252_68dbb88
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:26:46,"{""timestamp"": ""2026-09-24T14:26:46.279525Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 135, ""rationale"": ""Fire Soul Shield active on high-risk service port 135"", ""host"": ""kali""}",1790260006435850689,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790260006435850689_95c90089
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:26:46,"{""timestamp"": ""2026-09-24T14:26:46.278954Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 23, ""rationale"": ""Fire Soul Shield active on high-risk service port 23"", ""host"": ""kali""}",1790260006435807710,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790260006435807710_bf286d74
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T13:32:17.255251Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 3389, ""rationale"": ""Fire Soul Shield active on high-risk service port 3389"", ""host"": ""kali""}",1790258663948214553,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663948214553_21f3c6eb
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T13:32:17.254880Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 445, ""rationale"": ""Fire Soul Shield active on high-risk service port 445"", ""host"": ""kali""}",1790258663948139645,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663948139645_322eff16
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T13:32:17.254450Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 135, ""rationale"": ""Fire Soul Shield active on high-risk service port 135"", ""host"": ""kali""}",1790258663948060895,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663948060895_af47ec45
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T13:32:17.253772Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 23, ""rationale"": ""Fire Soul Shield active on high-risk service port 23"", ""host"": ""kali""}",1790258663947941102,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663947941102_563558d
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T12:54:53.141833Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 3389, ""rationale"": ""Fire Soul Shield active on high-risk service port 3389"", ""host"": ""kali""}",1790258663947834288,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663947834288_4caff996
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T12:54:53.141528Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 445, ""rationale"": ""Fire Soul Shield active on high-risk service port 445"", ""host"": ""kali""}",1790258663947800149,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663947800149_6be80981
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T12:54:53.140989Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 135, ""rationale"": ""Fire Soul Shield active on high-risk service port 135"", ""host"": ""kali""}",1790258663947754412,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663947754412_737946fd
"{""ability"":""flame_shield"",""action"":""drop"",""detected_level"":""unknown"",""event_type"":""port_shield_active"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T12:54:53.135264Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""port_shield_active"", ""action"": ""drop"", ""source_ip"": ""ANY"", ""target_port"": 23, ""rationale"": ""Fire Soul Shield active on high-risk service port 23"", ""host"": ""kali""}",1790258663947723603,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663947723603_e4dac80f
"{""ability"":""flame_shield"",""action"":""rate_limit"",""detected_level"":""unknown"",""event_type"":""firewall_policy_enforced"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:26:46,"{""timestamp"": ""2026-09-24T14:26:46.172029Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""firewall_policy_enforced"", ""action"": ""rate_limit"", ""source_ip"": ""0.0.0.0/0"", ""target_port"": 22, ""rationale"": ""Enforced limit on SSH connection bursts (Anti-Brute Force)"", ""host"": ""kali""}",1790260006435680748,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790260006435680748_a38580c2
"{""ability"":""flame_shield"",""action"":""rate_limit"",""detected_level"":""unknown"",""event_type"":""firewall_policy_enforced"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T13:32:17.229794Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""firewall_policy_enforced"", ""action"": ""rate_limit"", ""source_ip"": ""0.0.0.0/0"", ""target_port"": 22, ""rationale"": ""Enforced limit on SSH connection bursts (Anti-Brute Force)"", ""host"": ""kali""}",1790258663947877423,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663947877423_ab6d4bdc
"{""ability"":""flame_shield"",""action"":""rate_limit"",""detected_level"":""unknown"",""event_type"":""firewall_policy_enforced"",""filename"":""/var/log/fire_soul_events.log"",""job"":""fire_soul"",""module"":""Fire Soul"",""nist_control"":""protect_access_control"",""service_name"":""fire_soul""}",2026-09-24 10:04:23,"{""timestamp"": ""2026-09-24T12:54:53.133159Z"", ""module"": ""Fire Soul"", ""nist_function"": ""PROTECT_ACCESS_CONTROL"", ""event_type"": ""firewall_policy_enforced"", ""action"": ""rate_limit"", ""source_ip"": ""0.0.0.0/0"", ""target_port"": 22, ""rationale"": ""Enforced limit on SSH connection bursts (Anti-Brute Force)"", ""host"": ""kali""}",1790258663946659377,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790258663946659377_f0cab6e2
