"labels","Time","Line","tsNs","labelTypes","id"
"{""ability"":""dual_squad_soar"",""action"":""host_quarantine"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""ProtoMan.EXE"",""status"":""isolated""}",2026-09-25 03:52:44.370,"{""timestamp"": ""2026-09-25T07:52:44.342114+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""ProtoMan.EXE"", ""ability"": ""Delta Ray Edge"", ""nist_function"": ""RESPOND_ANALYSIS"", ""action"": ""host_quarantine"", ""target"": ""192.168.1.105"", ""status"": ""isolated"", ""rationale"": ""Surgically severed host interface following detected malicious C2 traffic burst"", ""host"": ""kali""}",1790322764370077086,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322764370077086_88d4f162
"{""ability"":""dual_squad_soar"",""action"":""host_quarantine"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""ProtoMan.EXE"",""status"":""isolated""}",2026-09-25 03:52:40.102,"{""timestamp"": ""2026-09-25T07:52:40.091997+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""ProtoMan.EXE"", ""ability"": ""Delta Ray Edge"", ""nist_function"": ""RESPOND_ANALYSIS"", ""action"": ""host_quarantine"", ""target"": ""192.168.1.105"", ""status"": ""isolated"", ""rationale"": ""Surgically severed host interface following detected malicious C2 traffic burst"", ""host"": ""kali""}",1790322760102803477,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322760102803477_28ab99a4
"{""ability"":""dual_squad_soar"",""action"":""host_quarantine"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""ProtoMan.EXE"",""status"":""isolated""}",2026-09-25 03:52:38.849,"{""timestamp"": ""2026-09-25T07:52:38.618446+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""ProtoMan.EXE"", ""ability"": ""Delta Ray Edge"", ""nist_function"": ""RESPOND_ANALYSIS"", ""action"": ""host_quarantine"", ""target"": ""192.168.1.105"", ""status"": ""isolated"", ""rationale"": ""Surgically severed host interface following detected malicious C2 traffic burst"", ""host"": ""kali""}",1790322758849290130,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322758849290130_e49ef445
"{""ability"":""dual_squad_soar"",""action"":""host_quarantine"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""ProtoMan.EXE"",""status"":""isolated""}",2026-09-25 03:52:37.092,"{""timestamp"": ""2026-09-25T07:52:36.923386+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""ProtoMan.EXE"", ""ability"": ""Delta Ray Edge"", ""nist_function"": ""RESPOND_ANALYSIS"", ""action"": ""host_quarantine"", ""target"": ""192.168.1.105"", ""status"": ""isolated"", ""rationale"": ""Surgically severed host interface following detected malicious C2 traffic burst"", ""host"": ""kali""}",1790322757092788154,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322757092788154_db4defe7
"{""ability"":""dual_squad_soar"",""action"":""host_quarantine"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""ProtoMan.EXE"",""status"":""isolated""}",2026-09-25 03:52:35.587,"{""timestamp"": ""2026-09-25T07:52:35.400980+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""ProtoMan.EXE"", ""ability"": ""Delta Ray Edge"", ""nist_function"": ""RESPOND_ANALYSIS"", ""action"": ""host_quarantine"", ""target"": ""192.168.1.105"", ""status"": ""isolated"", ""rationale"": ""Surgically severed host interface following detected malicious C2 traffic burst"", ""host"": ""kali""}",1790322755587194674,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322755587194674_53c33c56
"{""ability"":""dual_squad_soar"",""action"":""host_quarantine"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""ProtoMan.EXE"",""status"":""isolated""}",2026-09-25 03:52:33.831,"{""timestamp"": ""2026-09-25T07:52:33.672474+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""ProtoMan.EXE"", ""ability"": ""Delta Ray Edge"", ""nist_function"": ""RESPOND_ANALYSIS"", ""action"": ""host_quarantine"", ""target"": ""192.168.1.105"", ""status"": ""isolated"", ""rationale"": ""Surgically severed host interface following detected malicious C2 traffic burst"", ""host"": ""kali""}",1790322753831772805,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322753831772805_12547cd3
"{""ability"":""dual_squad_soar"",""action"":""host_quarantine"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""ProtoMan.EXE"",""status"":""isolated""}",2026-09-25 03:52:31.849,"{""timestamp"": ""2026-09-25T07:52:25.359356+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""ProtoMan.EXE"", ""ability"": ""Delta Ray Edge"", ""nist_function"": ""RESPOND_ANALYSIS"", ""action"": ""host_quarantine"", ""target"": ""192.168.1.105"", ""status"": ""isolated"", ""rationale"": ""Surgically severed host interface following detected malicious C2 traffic burst"", ""host"": ""kali""}",1790322751849681390,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322751849681390_9a2d857b
"{""ability"":""dual_squad_soar"",""action"":""perimeter_block"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""Colonel.EXE"",""status"":""blacklisted""}",2026-09-25 03:52:44.372,"{""timestamp"": ""2026-09-25T07:52:44.343573+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""Colonel.EXE"", ""ability"": ""Screen Divide"", ""nist_function"": ""RESPOND_MITIGATION"", ""action"": ""perimeter_block"", ""target"": ""198.51.100.44"", ""status"": ""blacklisted"", ""rationale"": ""Applied global firewall drop rule to malicious external threat IP across all gateways"", ""host"": ""kali""}",1790322764372831152,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322764372831152_9657a66c
"{""ability"":""dual_squad_soar"",""action"":""perimeter_block"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""Colonel.EXE"",""status"":""blacklisted""}",2026-09-25 03:52:40.102,"{""timestamp"": ""2026-09-25T07:52:40.093486+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""Colonel.EXE"", ""ability"": ""Screen Divide"", ""nist_function"": ""RESPOND_MITIGATION"", ""action"": ""perimeter_block"", ""target"": ""198.51.100.44"", ""status"": ""blacklisted"", ""rationale"": ""Applied global firewall drop rule to malicious external threat IP across all gateways"", ""host"": ""kali""}",1790322760102885140,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322760102885140_12cffa03
"{""ability"":""dual_squad_soar"",""action"":""perimeter_block"",""detected_level"":""unknown"",""filename"":""/var/log/leaders_raid_execution.log"",""job"":""leaders_raid"",""module"":""Leaders Raid"",""nist_control"":""respond_mitigation"",""service_name"":""leaders_raid"",""squad_leader"":""Colonel.EXE"",""status"":""blacklisted""}",2026-09-25 03:52:38.849,"{""timestamp"": ""2026-09-25T07:52:38.620090+00:00"", ""module"": ""Leaders Raid"", ""squad_leader"": ""Colonel.EXE"", ""ability"": ""Screen Divide"", ""nist_function"": ""RESPOND_MITIGATION"", ""action"": ""perimeter_block"", ""target"": ""198.51.100.44"", ""status"": ""blacklisted"", ""rationale"": ""Applied global firewall drop rule to malicious external threat IP across all gateways"", ""host"": ""kali""}",1790322758849347101,"{""ability"":""I"",""action"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""squad_leader"":""I"",""status"":""I""}",1790322758849347101_5b226631
