"Time","{event_type=""configuration_rollback""}"
2026-09-25 02:21:30,1
2026-09-25 02:22:00,1
2026-09-25 02:22:30,1
2026-09-25 02:23:00,1
2026-09-25 02:23:30,1
2026-09-25 02:24:00,1
2026-09-25 02:24:30,1
2026-09-25 02:25:00,1
2026-09-25 02:25:30,1
2026-09-25 02:26:00,1
2026-09-25 02:34:00,4
2026-09-25 02:34:30,7
2026-09-25 02:35:00,7
2026-09-25 02:35:30,7
2026-09-25 02:36:00,7
2026-09-25 02:36:30,7
2026-09-25 02:37:00,7
2026-09-25 02:37:30,7
2026-09-25 02:38:00,7
2026-09-25 02:38:30,7
2026-09-25 02:39:00,3
