"labels","Time","Line","tsNs","labelTypes","id"
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""configuration_rollback"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""restored_from_baseline""}",2026-09-25 02:34:04.753,"{""timestamp"": ""2026-09-25T06:34:04.728996+00:00"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""configuration_rollback"", ""target_resource"": ""/etc/ssh/sshd_config"", ""status"": ""restored_from_baseline"", ""rationale"": ""Reverted unauthorized SSH configuration changes back to baseline golden image"", ""host"": ""kali""}",1790318044753947514,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790318044753947514_d6e69d5c
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""configuration_rollback"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""restored_from_baseline""}",2026-09-25 02:34:03.244,"{""timestamp"": ""2026-09-25T06:34:03.225362+00:00"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""configuration_rollback"", ""target_resource"": ""/etc/ssh/sshd_config"", ""status"": ""restored_from_baseline"", ""rationale"": ""Reverted unauthorized SSH configuration changes back to baseline golden image"", ""host"": ""kali""}",1790318043244301418,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790318043244301418_8df9fc92
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""configuration_rollback"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""restored_from_baseline""}",2026-09-25 02:34:01.738,"{""timestamp"": ""2026-09-25T06:34:01.604260+00:00"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""configuration_rollback"", ""target_resource"": ""/etc/ssh/sshd_config"", ""status"": ""restored_from_baseline"", ""rationale"": ""Reverted unauthorized SSH configuration changes back to baseline golden image"", ""host"": ""kali""}",1790318041738727731,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790318041738727731_99c3be8a
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""configuration_rollback"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""restored_from_baseline""}",2026-09-25 02:33:58.981,"{""timestamp"": ""2026-09-25T06:33:58.866845+00:00"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""configuration_rollback"", ""target_resource"": ""/etc/ssh/sshd_config"", ""status"": ""restored_from_baseline"", ""rationale"": ""Reverted unauthorized SSH configuration changes back to baseline golden image"", ""host"": ""kali""}",1790318038981149190,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790318038981149190_9af64954
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""configuration_rollback"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""restored_from_baseline""}",2026-09-25 02:33:57.253,"{""timestamp"": ""2026-09-25T06:33:56.857033+00:00"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""configuration_rollback"", ""target_resource"": ""/etc/ssh/sshd_config"", ""status"": ""restored_from_baseline"", ""rationale"": ""Reverted unauthorized SSH configuration changes back to baseline golden image"", ""host"": ""kali""}",1790318037253658903,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790318037253658903_5c739759
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""configuration_rollback"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""restored_from_baseline""}",2026-09-25 02:33:54.836,"{""timestamp"": ""2026-09-25T06:33:54.657726+00:00"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""configuration_rollback"", ""target_resource"": ""/etc/ssh/sshd_config"", ""status"": ""restored_from_baseline"", ""rationale"": ""Reverted unauthorized SSH configuration changes back to baseline golden image"", ""host"": ""kali""}",1790318034836099027,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790318034836099027_42c01280
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""configuration_rollback"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""restored_from_baseline""}",2026-09-25 02:33:45.786,"{""timestamp"": ""2026-09-25T06:33:45.654507+00:00"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""configuration_rollback"", ""target_resource"": ""/etc/ssh/sshd_config"", ""status"": ""restored_from_baseline"", ""rationale"": ""Reverted unauthorized SSH configuration changes back to baseline golden image"", ""host"": ""kali""}",1790318025786718017,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790318025786718017_d777b53a
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""configuration_rollback"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""restored_from_baseline""}",2026-09-25 02:21:06.410,"{""timestamp"": ""2026-09-25T06:20:57.007139Z"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""configuration_rollback"", ""target_resource"": ""/etc/ssh/sshd_config"", ""status"": ""restored_from_baseline"", ""rationale"": ""Reverted unauthorized SSH configuration changes back to baseline golden image"", ""host"": ""kali""}",1790317266410402616,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790317266410402616_176b1d19
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""system_health_restored"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""100_percent_health""}",2026-09-25 02:34:04.753,"{""timestamp"": ""2026-09-25T06:34:04.730944+00:00"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""system_health_restored"", ""target_resource"": ""Local Host Defense Network"", ""status"": ""100_percent_health"", ""rationale"": ""All core services verified online and operational following remediation"", ""host"": ""kali""}",1790318044753998711,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790318044753998711_85707046
"{""ability"":""roll_flash"",""detected_level"":""unknown"",""event_type"":""system_health_restored"",""filename"":""/var/log/roll_soul_recovery.log"",""job"":""roll_soul"",""module"":""Roll Soul"",""nist_control"":""recover_restoration"",""service_name"":""roll_soul"",""status"":""100_percent_health""}",2026-09-25 02:34:03.244,"{""timestamp"": ""2026-09-25T06:34:03.229719+00:00"", ""module"": ""Roll Soul"", ""nist_function"": ""RECOVER_RESTORATION"", ""event_type"": ""system_health_restored"", ""target_resource"": ""Local Host Defense Network"", ""status"": ""100_percent_health"", ""rationale"": ""All core services verified online and operational following remediation"", ""host"": ""kali""}",1790318043244351230,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790318043244351230_6fc44b62
