"labels","Time","Line","tsNs","labelTypes","id"
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 10:04:10,"{""timestamp"": ""2026-09-23T14:04:10.279671Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.157"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790172250659921282,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790172250659921282_3e2cbe9c
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 10:04:10,"{""timestamp"": ""2026-09-23T14:04:10.279282Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.103"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790172250659907059,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790172250659907059_32761ce3
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 10:04:10,"{""timestamp"": ""2026-09-23T14:04:10.278825Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.21"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790172250405302132,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790172250405302132_bda34dac
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 10:04:10,"{""timestamp"": ""2026-09-23T14:04:10.277955Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.16"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790172250405279459,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790172250405279459_fb4d3739
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 10:04:10,"{""timestamp"": ""2026-09-23T14:04:10.221513Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.1"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790172250405230428,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790172250405230428_9f4787ae
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 09:59:32,"{""timestamp"": ""2026-09-22T11:52:11.879597Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.157"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790171972801241987,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790171972801241987_19386341
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 09:59:32,"{""timestamp"": ""2026-09-22T11:52:11.878592Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.250"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790171972801195058,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790171972801195058_90af48cf
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 09:59:32,"{""timestamp"": ""2026-09-22T11:52:11.877734Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.106"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790171972733904711,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790171972733904711_dc864636
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 09:59:32,"{""timestamp"": ""2026-09-22T11:52:11.876842Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.103"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790171972733572364,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790171972733572364_36d8774a
"{""ability"":""scope_gun"",""detected_level"":""unknown"",""event_type"":""target_lock_acquired"",""filename"":""/var/log/search_soul_recon.log"",""job"":""search_man"",""module"":""Search Soul"",""nist_control"":""identify"",""service_name"":""search_man"",""status"":""UP""}",2026-09-23 09:59:32,"{""timestamp"": ""2026-09-22T11:52:11.875529Z"", ""module"": ""Search Soul"", ""nist_function"": ""IDENTIFY"", ""event_type"": ""target_lock_acquired"", ""target_ip"": ""192.168.1.21"", ""status"": ""UP"", ""scanner_host"": ""kali""}",1790171972733459450,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I"",""status"":""I""}",1790171972733459450_41109934
