"labels","Time","Line","tsNs","labelTypes","id"
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.557,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_active_sessions"",""labels"":[""protocol""],""label_values"":[""tcp""],""value"":8.0}",1790171974557058177,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974557058177_339deebc
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.557,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_active_sessions"",""labels"":[""protocol""],""label_values"":[""udp""],""value"":11.0}",1790171974557023269,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974557023269_64b08fe
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.556,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_active_sessions"",""labels"":[""protocol""],""label_values"":[""icmp""],""value"":7.0}",1790171974556932982,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974556932982_774ca147
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.556,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_pending_triggers"",""labels"":[],""label_values"":[],""value"":0.0}",1790171974556916449,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974556916449_d4f94720
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.556,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_dnsmgr_cache_entries"",""labels"":[""type""],""label_values"":[""host""],""value"":0.0}",1790171974556911375,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974556911375_98c2a412
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.556,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_dnsmgr_cache_entries"",""labels"":[""type""],""label_values"":[""address""],""value"":0.0}",1790171974556841966,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974556841966_c286515c
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.556,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_dnsmgr_cache_entries"",""labels"":[""type""],""label_values"":[""text""],""value"":0.0}",1790171974556827252,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974556827252_8a6390f9
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.556,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_dnsmgr_pending_asyncs_requests"",""labels"":[],""label_values"":[],""value"":0.0}",1790171974556815065,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974556815065_1683bcd5
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.556,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_timers_pending"",""labels"":[""type""],""label_values"":[""TCPConnectionPartialClose""],""value"":0.0}",1790171974556805695,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974556805695_f1e58ffd
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.556,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_timers_pending"",""labels"":[""type""],""label_values"":[""TCPConnectionAttemptTimer""],""value"":1.0}",1790171974556801069,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974556801069_f04a29ef
"{""ability"":""target_acquisition"",""detected_level"":""unknown"",""filename"":""/opt/zeek/logs/current/telemetry.log"",""job"":""search_man"",""nist_control"":""detect"",""service_name"":""search_man""}",2026-09-23 09:59:34.556,"{""ts"":1790085036.199737,""peer"":""zeek"",""metric_type"":""gauge"",""name"":""zeek_timers_pending"",""labels"":[""type""],""label_values"":[""TableValTimer""],""value"":36.0}",1790171974556731489,"{""ability"":""I"",""detected_level"":""S"",""filename"":""I"",""job"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790171974556731489_3278c36c
